Ano;Bioma;Categoria;Estado;Número de registros;Período;Área Desmatada (Ha)
Até 2012;Amazônia;Desflorestamento;Acre;1;31/12/2012; 2069692,76
Até 2012;Amazônia;Desflorestamento;Amapá;1;31/12/2012;  296396,91
Até 2012;Amazônia;Desflorestamento;Amazonas;1;31/12/2012; 3504915,57
Até 2012;Amazônia;Desflorestamento;Maranhão;1;31/12/2012; 8005247,83
Até 2012;Amazônia;Desflorestamento;Mato Grosso;1;31/12/2012;18127035,13
Até 2012;Amazônia;Desflorestamento;Pará;1;31/12/2012;25387873,84
Até 2012;Amazônia;Desflorestamento;Rondônia;1;31/12/2012; 8602887,48
Até 2012;Amazônia;Desflorestamento;Roraima;1;31/12/2012;  976429,18
Até 2012;Amazônia;Desflorestamento;Tocantins;1;31/12/2012; 2518520,27
2013;Amazônia;Desflorestamento;Acre;1;31/12/2013;   19961,24
